publisher,release_date,price,early_access
Kotoshiro,2018-01-04 00:00:00,4.99,False
"Making Fun, Inc.",2018-01-04 00:00:00,Free To Play,False
Poolians.com,2017-07-24 00:00:00,Free to Play,False
彼岸领域,2017-12-07 00:00:00,0.99,False
Trickjump Games Ltd,2018-01-04 00:00:00,3.99,False
,2018-01-04 00:00:00,9.99,False
Poppermost Productions,2018-01-04 00:00:00,18.99,False
Poppermost Productions,2018-01-04 00:00:00,29.99,False
RewindApp,2018-01-04 00:00:00,,False
Qucheza,,,True
Stegalosaurus Game Development,2018-01-04 00:00:00,10.99,False
Copperpick Studio,2018-01-04 00:00:00,3.99,False
Ghulam Jewel,2018-01-03 00:00:00,2.99,False
Apillo,2018-01-03 00:00:00,1.59,False
Poppermost Productions,2018-01-03 00:00:00,14.99,False
Apillo,2018-01-03 00:00:00,1.99,False
Poppermost Productions,2018-01-03 00:00:00,59.99,False
Tero Lunkka,2018-01-03 00:00:00,0.99,False
FrozenPepper,2017-12-22 00:00:00,2.99,False
FrozenPepper,2017-12-23 00:00:00,2.99,False
Casey Labrack,2018-01-03 00:00:00,4.99,False
,2018-01-03 00:00:00,4.99,False
Stainless Games Ltd,1997-06-30 00:00:00,9.99,False
Valve,1998-11-08 00:00:00,9.99,False
dev4play,2016-11-25 00:00:00,1.99,False
BlueLine Games,2018-01-01 00:00:00,,False
Games by Brundle,2018-01-01 00:00:00,,False
ETGgames,2018-01-01 00:00:00,0.99,False
ProjectorGames,2018-01-01 00:00:00,,False
Unknown Indie Devs,2017-12-30 00:00:00,,False
,2018-01-01 00:00:00,8.99,False
Cisamid Inc.,2018-01-01 00:00:00,0.99,False
Strategy First,2006-07-06 00:00:00,6.99,False
Strategy First,2006-07-06 00:00:00,6.99,False
Blazing Griffin Ltd.,2006-07-11 00:00:00,9.99,False
Breakout Studio,,,True
zha7,,,True
Ultraint,2017-12-29 00:00:00,7.99,True
Seth Albertus,2018-03-30 00:00:00,,False
TPM.CO SOFT WORKS,2017-12-29 00:00:00,10.99,False
Wonderbox Games,2017-12-29 00:00:00,9.99,True
Wonderbox Games,2017-12-29 00:00:00,9.99,False
Mad Unicorn Games,2017-12-30 00:00:00,1.99,False
,2017-12-29 00:00:00,0.99,False
Majesco,2005-08-09 00:00:00,9.99,False
Introversion Software,2006-09-29 00:00:00,9.99,False
Blazing Griffin Ltd.,2006-11-20 00:00:00,9.99,False
Valve,2006-11-29 00:00:00,9.99,False
SimBin,2006-11-24 00:00:00,39.99,False
Unknown Worlds Entertainment,2006-12-14 00:00:00,Free,False
"CINEMAX, s.r.o.",2006-12-19 00:00:00,4.99,False
Strategy First,2003-08-23 00:00:00,4.99,False
Strategy First,2006-12-21 00:00:00,4.99,False
Funcom,2006-04-17 00:00:00,19.99,False
Strategy First,2006-08-01 00:00:00,9.99,False
Strategy First,2005-07-12 00:00:00,7.49,False
Capcom,2007-06-26 00:00:00,14.99,False
2K Games,2006-07-24 00:00:00,9.99,False
Arkane Studios,2002-11-12 00:00:00,4.99,False
Funcom,2000-11-17 00:00:00,9.99,False
2K Games,2006-07-24 00:00:00,4.99,False
2K Games,2003-10-23 00:00:00,9.99,False
"2K Games, Feral Interactive (Mac)",2006-10-16 00:00:00,9.99,False
2K Games,1998-10-31 00:00:00,4.99,False
,2007-06-01 00:00:00,4.99,False
2K Games,1995-04-01 00:00:00,4.99,False
"Square Enix, Feral Interactive (Mac)",2007-06-05 00:00:00,8.99,False
Capcom,2006-05-23 00:00:00,19.99,False
Telltale Games,2006-10-17 00:00:00,19.99,False
id Software,1996-06-17 00:00:00,4.99,False
Telltale Games,2006-12-20 00:00:00,19.99,False
id Software,1995-04-30 00:00:00,4.99,False
id Software,1995-06-01 00:00:00,14.99,False
id Software,1994-05-05 00:00:00,4.99,False
id Software,1994-08-03 00:00:00,4.99,False
id Software,2001-11-20 00:00:00,4.99,False
id Software,1997-02-28 00:00:00,2.99,False
id Software,1993-10-10 00:00:00,2.99,False
Majesco,2003-09-09 00:00:00,9.99,False
id Software,2007-08-03 00:00:00,2.99,False
id Software,2007-05-31 00:00:00,4.99,False
THQ Nordic,2007-03-20 00:00:00,4.99,False
SEGA,2006-01-01 00:00:00,12.99,False
2K Games,2007-08-21 00:00:00,19.99,False
SEGA,2006-01-01 00:00:00,12.99,False
SEGA,2006-10-09 00:00:00,12.99,False
