funny,last_edited,item_id,helpful,recommend,review,posted
,,1250,No ratings yet,True,2,2011-11-05
,,22200,No ratings yet,True,2,2011-07-15
,,43110,No ratings yet,True,2,2011-04-21
,,251610,15 of 20 people (75%) found this review helpful,True,2,2014-06-24
,,227300,0 of 1 people (0%) found this review helpful,True,1,2013-09-08
,,239030,1 of 4 people (25%) found this review helpful,True,1,2013-11-29
,,248820,No ratings yet,True,2,2016-02-03
,"Last edited December 5, 2015.",370360,No ratings yet,True,2,2015-12-04
,,237930,No ratings yet,True,2,2014-11-03
,,263360,No ratings yet,True,1,2014-10-15
,,107200,No ratings yet,True,2,2014-10-15
,,224500,No ratings yet,True,2,2014-10-15
,,250320,2 of 2 people (100%) found this review helpful,True,2,2013-10-14
,,20920,1 of 1 people (100%) found this review helpful,True,2,2012-07-28
,,204100,1 of 1 people (100%) found this review helpful,True,2,2012-06-02
,,224600,1 of 2 people (50%) found this review helpful,True,2,2014-06-29
,,207610,No ratings yet,True,1,2012-11-22
,,108710,No ratings yet,True,2,2012-02-23
3 people found this review funny,,211420,35 of 43 people (81%) found this review helpful,True,1,2014-04-15
1 person found this review funny,,211820,12 of 16 people (75%) found this review helpful,True,2,2013-12-23
2 people found this review funny,,730,5 of 5 people (100%) found this review helpful,True,2,2014-03-14
,,204300,No ratings yet,True,2,2013-07-11
,,249130,7 of 8 people (88%) found this review helpful,True,1,2014-05-05
,"Last edited November 25, 2013.",207610,1 of 1 people (100%) found this review helpful,True,1,2012-12-24
1 person found this review funny,"Last edited November 25, 2013.",550,1 of 1 people (100%) found this review helpful,True,1,2012-10-21
,"Last edited June 22, 2014.",65800,1 of 1 people (100%) found this review helpful,True,1,2012-03-20
,"Last edited November 25, 2013.",220,No ratings yet,True,2,2012-03-09
1 person found this review funny,,730,0 of 1 people (0%) found this review helpful,True,1,2016-05-20
,,730,No ratings yet,True,1,2016-07-24
5 people found this review funny,,72850,3 of 3 people (100%) found this review helpful,True,1,2015-02-01
1 person found this review funny,,440,3 of 3 people (100%) found this review helpful,True,1,2014-06-20
,,252950,0 of 1 people (0%) found this review helpful,True,2,2016-06-16
,,440,No ratings yet,True,1,2016-06-11
,"Last edited July 30, 2015.",304930,No ratings yet,True,1,2014-08-25
,,4000,0 of 1 people (0%) found this review helpful,True,1,2013-12-25
,,42910,0 of 2 people (0%) found this review helpful,True,1,2012-06-23
,,232090,0 of 1 people (0%) found this review helpful,True,2,2015-09-05
,,1250,No ratings yet,True,2,2015-03-30
,,4000,No ratings yet,True,2,2014-02-19
,,304930,2 of 4 people (50%) found this review helpful,True,1,2014-07-14
,,570,0 of 1 people (0%) found this review helpful,True,2,2013-04-27
1 person found this review funny,,218620,2 of 6 people (33%) found this review helpful,True,2,2015-07-20
,,224260,No ratings yet,True,2,2013-11-04
,,1250,No ratings yet,True,2,2013-07-12
,,440,No ratings yet,True,1,2012-08-19
,,730,1 of 3 people (33%) found this review helpful,True,2,2015-06-19
,,440,0 of 2 people (0%) found this review helpful,True,2,2014-09-20
,,49520,0 of 2 people (0%) found this review helpful,True,1,2014-09-07
,,33440,1 of 3 people (33%) found this review helpful,False,0,2014-12-19
17 people found this review funny,,220200,28 of 31 people (90%) found this review helpful,True,2,2015-02-17
,"Last edited December 28, 2014.",211820,No ratings yet,True,2,2014-06-07
,,440,6 of 9 people (67%) found this review helpful,True,2,2014-02-12
,,218740,0 of 1 people (0%) found this review helpful,True,1,2014-02-09
,,550,No ratings yet,True,2,2015-10-31
,,220,No ratings yet,True,2,2016-02-27
,,238090,1 of 2 people (50%) found this review helpful,True,2,2015-02-04
,,242130,No ratings yet,True,1,2016-08-23
,,277430,No ratings yet,True,2,2014-04-05
,,8870,2 of 2 people (100%) found this review helpful,True,1,2015-01-08
,,368230,3 of 5 people (60%) found this review helpful,True,1,2015-10-26
1 person found this review funny,,4000,0 of 1 people (0%) found this review helpful,True,2,2016-05-16
,,33930,No ratings yet,True,2,2013-03-20
,,359320,4 of 5 people (80%) found this review helpful,False,0,2015-12-28
2 people found this review funny,,219640,1 of 5 people (20%) found this review helpful,True,2,2015-05-19
,,287980,No ratings yet,True,2,2015-12-15
,,218620,No ratings yet,True,1,2016-03-31
,,208090,No ratings yet,True,1,2015-08-21
1 person found this review funny,,242700,No ratings yet,True,1,2014-10-17
,,570,No ratings yet,False,0,2014-06-27
,,224260,No ratings yet,True,1,2014-04-28
,,221100,0 of 8 people (0%) found this review helpful,True,2,2015-11-12
,,570,No ratings yet,True,1,2014-06-18
,,331470,27 of 41 people (66%) found this review helpful,True,2,2014-11-20
,,4000,8 of 10 people (80%) found this review helpful,True,2,2014-05-29
,,323370,No ratings yet,True,2,2016-07-09
,,304930,No ratings yet,True,2,2014-12-29
,,12210,No ratings yet,True,2,2015-02-13
,,265210,No ratings yet,True,1,2014-12-26
,,48700,No ratings yet,True,2,2014-02-04
,,238460,1 of 1 people (100%) found this review helpful,True,2,2016-06-16
,,34900,No ratings yet,True,2,2016-06-16
,,730,0 of 1 people (0%) found this review helpful,True,2,2015-05-21
,,113200,No ratings yet,True,1,2013-12-06
,,440,4 of 4 people (100%) found this review helpful,True,1,2014-05-12
,,383080,4 of 7 people (57%) found this review helpful,False,0,2015-08-24
,,213670,No ratings yet,True,1,2015-01-06
,,105600,No ratings yet,True,1,2015-12-22
,Last edited April 4.,730,1 of 1 people (100%) found this review helpful,True,1,2015-06-23
,Last edited June 23.,570,No ratings yet,True,2,2015-09-11
,,231180,No ratings yet,True,2,2013-04-22
,,620,No ratings yet,True,2,2012-05-27
,,271290,No ratings yet,True,2,2016-01-18
,,4000,0 of 1 people (0%) found this review helpful,True,1,2016-07-30
,,317360,0 of 1 people (0%) found this review helpful,True,1,2016-07-28
1 person found this review funny,,223710,No ratings yet,True,1,2015-12-05
,,299360,No ratings yet,True,1,2015-10-04
,"Last edited October 4, 2015.",322330,No ratings yet,True,2,2015-10-03
,,1250,No ratings yet,True,1,2015-08-13
,,12100,No ratings yet,True,1,2015-02-22
,,204360,No ratings yet,True,2,2015-01-14
,,440,No ratings yet,True,1,2013-12-14
,,224260,No ratings yet,True,2,2013-12-01
,,440,No ratings yet,True,2,2012-02-11
,,304930,No ratings yet,True,1,2016-02-20
,,440,1 of 1 people (100%) found this review helpful,True,2,2015-03-12
,,1840,3 of 6 people (50%) found this review helpful,True,1,2015-10-14
,,440,1 of 1 people (100%) found this review helpful,True,2,2013-10-27
,"Last edited November 27, 2015.",440,1 of 1 people (100%) found this review helpful,True,2,2015-11-27
,,233250,0 of 11 people (0%) found this review helpful,True,1,2014-10-09
,,449140,No ratings yet,True,1,2016-05-07
,,368730,No ratings yet,True,1,2016-05-07
,,246280,No ratings yet,True,1,2016-04-04
,,427270,No ratings yet,True,2,2016-03-30
,,397100,No ratings yet,True,1,2016-03-28
,,248570,No ratings yet,True,1,2015-11-09
,,298630,0 of 1 people (0%) found this review helpful,True,1,2015-12-23
,,244210,1 of 1 people (100%) found this review helpful,True,1,2014-05-06
2 people found this review funny,,440,1 of 2 people (50%) found this review helpful,True,1,2015-12-02
2 people found this review funny,,376920,13 of 27 people (48%) found this review helpful,True,2,2015-06-06
,,257750,No ratings yet,True,1,2015-09-29
,,221910,No ratings yet,True,1,2014-09-08
,,2280,No ratings yet,True,2,2013-12-15
,,417860,No ratings yet,False,0,2015-11-23
,,218620,No ratings yet,True,2,2014-06-01
,,218620,2 of 3 people (67%) found this review helpful,True,2,2014-07-11
,,222880,1 of 2 people (50%) found this review helpful,True,1,2014-11-14
,,377160,1 of 5 people (20%) found this review helpful,True,2,2015-11-13
,,211820,No ratings yet,True,2,2013-12-15
1 person found this review funny,,252490,No ratings yet,True,2,2015-12-17
,,440,1 of 1 people (100%) found this review helpful,True,2,2014-10-26
,,242920,2 of 2 people (100%) found this review helpful,True,2,2016-01-11
,,251990,1 of 1 people (100%) found this review helpful,True,2,2014-06-28
,,344760,3 of 4 people (75%) found this review helpful,False,0,2015-09-12
,,252950,1 of 1 people (100%) found this review helpful,True,1,2015-09-13
1 person found this review funny,,236430,2 of 5 people (40%) found this review helpful,True,1,2016-04-20
,,399730,No ratings yet,True,2,2015-10-14
